25
b	1
p	q
m	a
f	z
d	2
t	w
n	s
l	x
g	e
k	d
h	c
j	r
q	f
x	v
zhi	5
zh	5
chi	t
ch	t
shi	g
sh	g
ri	b
r	b
z	y
c	h
s	n
71
uang	j;
wang	j;
wong	j/
weng	j/
ying	u/
iong	m/
yong	m/
iung	m/
yung	m/
iang	u;
yang	u;
yuan	m0
iuan	m0
ing	u/
iao	ul
yao	ul
yun	mp
iun	mp
iou	u.
you	u.
ian	u0
yan	u0
yin	up
ang	;
eng	/
yue	m,
iue	m,
uai	j9
wai	j9
uei	jo
wei	jo
uan	j0
wan	j0
uen	jp
wen	jp
ong	j/
van	m0
ven	mp
er	-
ai	9
ei	o
ao	l
ou	.
an	0
en	p
yi	u
ia	u8
ya	u8
ie	u,
ye	u,
in	up
io	u.
wu	j
ua	j8
wa	j8
uo	ji
wo	ji
ui	jo
yu	m
iu	m
ue	m,
ve	m,
un	mp
vn	mp
a	8
o	i
e	k
v	m
i	u
u	j
E	,
